country,year,unemployment,immigrants,int_exp,public_debt,inflation,gdp,gdp_growth,gdp_pc
Austria,2010,5.532222222,,3.0,83.7,1.7,294050.6,2.716452519,35170.0
Austria,2011,5.555952381,,2.8,83.4,3.6,308167.0,4.800670361,36080.0
Austria,2012,5.608333333,43771.0,2.8,82.9,2.6,316589.4,2.733063566,36140.0
Austria,2013,5.638888889,465744.0,2.7,82.4,2.1,321191.7,1.453712601,35840.0
Austria,2014,5.632575758,59377.0,2.5,85.2,1.5,330113.5,2.777718104,35830.0
Austria,2015,5.591666667,5668.0,2.4,85.6,0.8,342083.5,3.626025594,35930.0
Austria,2016,5.528703704,66439.0,2.1,83.4,1.0,355665.6,3.970404887,36230.0
Austria,2017,5.411458333,645156.0,1.8,79.1,2.2,367294.9,3.269728644,36820.0
Austria,2018,5.335714286,683174.0,1.6,74.6,2.1,383234.3,4.339673652,37550.0
Austria,2019,5.352777778,719239.0,1.4,71.0,1.5,395706.8,3.254536455,38040.0
Austria,2020,5.461666667,75742.0,1.4,83.2,1.4,380317.9,-3.888965264,35480.0
Austria,2021,5.302083333,793687.0,1.1,82.4,2.8,406232.1,6.813826012,37040.0
Austria,2022,5.011111111,826339.0,1.0,78.4,8.6,448007.4,10.28360388,38560.0
Austria,2023,5.15,867389.0,1.2,78.5,7.7,473226.7,5.629215053,37860.0
Austria,2024,5.183333333,91726.0,1.5,81.8,2.9,484222.8,2.323643193,37300.0
Belgium,2010,6.940782123,657699.0,3.6,100.2,2.3,363242.4,4.459575383,33340.0
Belgium,2011,6.837125749,69395.0,3.6,102.7,3.4,378745.4,4.267948896,33540.0
Belgium,2012,6.807096774,719489.0,3.6,104.3,2.6,387934.9,2.426300095,33410.0
Belgium,2013,6.737762238,745649.0,3.4,105.0,1.2,394616.3,1.722299283,33350.0
Belgium,2014,6.570229008,761695.0,3.3,106.6,0.5,404958.3,2.620773648,33790.0
Belgium,2015,6.358823529,785759.0,3.0,105.6,0.6,415538.0,2.6125406,34090.0
Belgium,2016,6.1,8817.0,2.8,105.5,1.8,428467.1,3.111412193,34320.0
Belgium,2017,5.878947368,82198.0,2.4,102.5,2.2,443407.2,3.486872154,34700.0
Belgium,2018,5.707142857,83529.0,2.2,100.1,2.3,459491.8,3.627500862,35190.0
Belgium,2019,5.655555556,85312.0,2.0,97.6,1.2,479444.9,4.342427874,35850.0
Belgium,2020,5.705,872415.0,2.0,111.2,0.4,463750.9,-3.273368848,33990.0
Belgium,2021,5.754166667,887558.0,1.7,108.5,3.2,506047.2,9.120478257,35950.0
